32,-1
37,10163000
50,724300
62,864618
69,6333000
71,86613986
116,44354000
131,20696070
132,16363000
140,1257900
141,212600
150,23700715
181,821136
184,10537222
198,90945
205,10496000
221,44928923
233,35357000
248,13092666
249,12973808
6,20609294
39,20386799
43,4616000
44,12825000
51,4448000
52,67514000
68,1622000
80,1672000
194,187356
209,11296000
3,37900000
66,83661000
125,6202000
149,33087700
212,37964000
228,10833431
246,567000
29,2024904
123,2074000
152,2113077
206,52981991
215,1250000
23,10323000
36,17322796
41,491875
55,-1
81,-1
84,24658823
93,10824200
94,1704000
124,4294000
135,15302000
139,3461041
159,17129076
160,173615000
186,-1
196,13567338
199,6190280
224,6191155
7,13452
9,86295
12,101484
16,-1
19,274200
27,-1
33,29537
42,55456
57,11167325
58,150563
63,71293
64,9445281
88,103328
89,403355
96,10413211
111,2711476
138,394173
148,4922
178,3667084
185,8938
187,54000
188,166526
189,-1
191,109000
201,37429
227,1328019
231,31458
239,106405
22,312971
54,4667096
67,6340000
91,15438384
99,8555072
142,118395054
158,6071045
170,3405813
24,64237
40,35158304
87,56370
190,6081
237,317101000
238,-1
10,40117096
26,10027254
31,201032714
45,16634603
49,47330000
65,15617900
72,2563
77,229040
95,784894
172,6783374
173,30475144
207,-1
213,534189
240,3286314
243,28946101
115,17099000
119,5551900
220,8000000
230,5240000
241,30183400
46,1361170000
100,7184000
112,127290000
129,-1
146,2754685
163,24895000
208,50219669
219,23361147
34,393162
38,15135000
104,237641326
120,6580800
133,29793600
151,-1
174,98678000
200,5399200
222,65926261
223,-1
244,90388000
0,25500100
18,152518015
25,740990
103,1236670000
105,77068000
134,317280
154,26494504
167,184845000
211,20277597
11,3024100
15,9235100
17,1234571
59,865878
82,-1
106,34035000
109,8092700
114,6512600
118,3582054
122,4822000
166,3929000
169,-1
179,2024707
195,29994272
218,21898000
229,75627384
235,8264070
247,24527000
20,9465500
35,7282041
60,10512900
101,9906000
144,3559500
176,38533299
180,1733842
182,20121641
183,143500000
202,5412008
234,45461627
1,28502
61,5623501
70,1286540
73,48509
75,5445883
92,62431
102,325010
107,-1
108,84497
113,97857
121,2014000
127,2950684
165,5077798
214,2655
216,9625444
236,63705000
2,2821977
5,76246
28,3791622
56,4290612
85,29752
86,10815197
98,800
110,59829079
130,-1
136,416055
147,620029
177,10562178
193,32509
197,7181505
203,2061405
210,46704314
14,8501502
21,11175653
76,65806000
83,80523700
126,36842
128,537000
145,36136
155,16807300
217,8085300
13,23254142
47,2072
48,550
157,4478810
162,2302
74,858038
156,258958
171,7059653
204,561000
242,264652
90,159358
117,106461
137,56086
143,-1
153,9945
164,53883
168,20901
4,55519
53,14974
78,268270
161,1613
175,56
192,187820
225,1411
226,103036
232,11323
245,13135
8,-1
30,-1
79,-1
97,-1
